Manufacturer;Model;Applications;Thrust (dry);Thrust (wet);Thrust (cruise);Specific Fuel Consumption (dry);Specific Fuel Consumption (wet);Specific Fuel Consumption (cruise);Total Airflow;Overall Pressure Ratio;FPR;Bypass Ratio;Cruise Altitude;Spools Count;Fan Stages;Low-Pressure Compressor;High-Pressure Compressor;High-Pressure Turbine;Intermediate-Pressure Turbine;Low-Pressure Turbine;Fan Width;Length;Width/Diameter;Weight (dry);semicomma
Agilis Engines;TF1000;S-26 Safire (candidate engine);1.000;-;270;0,4;-;0,64;;;;;30.000;;;;;;;;;56;23;285;
Agilis Engines;TF1200;;1.288;-;400;0,41;-;0,66;;;;;30.000;;;;;;;;;56;23;285;
Agilis Engines;TF1400;;1.400;-;400;0,41;-;0,66;;;;;30.000;;;;;;;;;56;23;300;
Agilis Engines;TF1500;;1.500;-;397;0,41;-;0,68;;;;;30.000;;;;;;;;;56;23;300;
Agilis Engines;TJ60;;60;-;30;1,24;-;1,5;;;;;20.000;;;;;;;;;13,5;5;9;
Agilis Engines;TJ75;;75;-;48;1,24;-;1,5;;;;;20.000;;;;;;;;;13,5;7;10;
Agilis Engines;TJ80;;72;-;48;1,24;-;1,5;;;;;20.000;;;;;;;;;13,5;5;9;
Agilis Engines;TJ400;;403;-;;0,9;-;;;;;;;;;;;;;;;30;15;136;
AlliedSignal (Honeywell);AS905;Falcon 7X (candidate engine);;-;;;-;;;;;;;;;;;;;;;;;;
AlliedSignal (Honeywell);AS907;Challenger 300;6.500;-;;0,42;-;;;21;;4,5;;2;1;4B;1C;2;-;3;34,2;92,4;46,3;1.364;
AlliedSignal (Honeywell);AS977-1A;RJX-70/-85/-100/-115, SL-100 (not produced);7.100;-;;0,416;-;;;23;;4,5;;2;1;4B;1C;2;-;3;34,2;92,4;49,9;1.364;
Allison (Rolls-Royce);AE3007A;ERJ-135ER, ERJ-145ER;7.580;-;;0,36;-;;294;24;;5,3;;2;1;-;14;3;-;2;38,5;106,5;43,5;1.586;
Allison (Rolls-Royce);AE3007A1;ERJ-135ER, ERJ-145ER;7.580;-;;0,36;-;;294;24;;5,3;;2;1;-;14;3;-;2;38,5;106,5;43,5;1.586;
Allison (Rolls-Royce);AE3007A1P;ERJ-145LR, Legacy Executive;7.580;-;;;-;;;;;5,3;;2;1;-;14;3;-;2;38,5;106,5;43,5;;
Allison (Rolls-Royce);AE3007A1/1;ERJ-135ER/LR, ERJ-145LR;7.580;-;;;-;;;;;5,3;;2;1;-;14;3;-;2;38,5;106,5;43,5;;
Allison (Rolls-Royce);AE3007A1/3;ERJ-135LR, ERJ-140, Legacy Corporate Shuttle;7.200;-;;;-;;;;;5,3;;2;1;-;14;3;-;2;38,5;106,5;43,5;;
Allison (Rolls-Royce);AE3007A1E;ERJ-145XR;8.110;-;;;-;;;;;;;2;1;-;14;3;-;2;38,5;106,5;43,5;;
Allison (Rolls-Royce);AE3007A3;ERJ-135;7.000;-;;;-;;;;;5,3;;2;1;-;14;3;-;2;38,5;106,5;43,5;;
Allison (Rolls-Royce);AE3007C;Citation X;6.442;-;;;-;;;;;5,3;;2;1;-;14;3;-;2;38,5;106,5;43,5;1.586;
Allison (Rolls-Royce);AE3007C1;Citation X;6.764;-;;;-;;;;;5,3;;2;1;-;14;3;-;2;38,5;106,5;43,5;;
Avco Lycoming;ALF301;Technology demonstrator;2.730;-;;0,44;-;;100;9;;5,6;;2;1;-;5 + 1C;2;-;2;;;;;
Avco Lycoming;ALF501;Technology demonstrator;5.800;-;;0,4;-;;221;9,3;;6;;2;1;-;7 + 1C;2;-;2;;;;;
Avco Lycoming;ALF502L;Challenger 600;7.500;-;2.150;0,428;-;0,73;256;13,6;;5,2;30.000;2;1;2B;7 + 1C;2;-;2;;65,6;50;1.311;
Avco Lycoming;ALF502L-2;Challenger 600;7.500;-;;0,428;-;;;13,6;;;;2;1;2B;7 + 1C;2;-;2;;65,6;50;1.311;
